from,to
PERSON_0000000060,PERSON_0000000705
PERSON_0000000060,PERSON_0000000710
PERSON_0000000060,PERSON_0000000768
PERSON_0000000060,PERSON_0000000779
PERSON_0000000060,PERSON_0000000806
PERSON_0000000060,PERSON_0000000857
PERSON_0000000060,PERSON_0000000830
PERSON_0000000060,PERSON_0000000831
PERSON_0000000060,PERSON_0000000904
PERSON_0000000060,PERSON_0000000966
PERSON_0000000060,PERSON_0000000819
PERSON_0000000060,PERSON_0000000638
PERSON_0000000060,PERSON_0000000692
PERSON_0000000060,PERSON_0000000558
PERSON_0000000060,PERSON_0000000601
PERSON_0000000060,PERSON_0000000076
PERSON_0000000060,PERSON_0000000084
PERSON_0000000060,PERSON_0000000087
PERSON_0000000060,PERSON_0000000108
PERSON_0000000060,PERSON_0000000068
PERSON_0000000060,PERSON_0000000178
PERSON_0000000060,PERSON_0000000319
PERSON_0000000060,PERSON_0000000384
PERSON_0000000060,PERSON_0000000398
PERSON_0000000060,PERSON_0000000528
PERSON_0000000060,PERSON_0000000165
PERSON_0000000060,PERSON_0000000029
PERSON_0000000914,PERSON_0000000954
PERSON_0000000914,PERSON_0000000905
PERSON_0000000914,PERSON_0000000055
PERSON_0000000914,PERSON_0000000417
PERSON_0000000914,PERSON_0000000183
PERSON_0000000914,PERSON_0000000448
PERSON_0000000914,PERSON_0000000879
PERSON_0000000914,PERSON_0000000016
PERSON_0000000914,PERSON_0000000340
PERSON_0000000914,PERSON_0000000911
PERSON_0000000914,PERSON_0000000678
PERSON_0000000914,PERSON_0000000549
PERSON_0000000914,PERSON_0000000883
PERSON_0000000914,PERSON_0000000101
PERSON_0000000914,PERSON_0000000706
PERSON_0000000914,PERSON_0000000694
PERSON_0000000914,PERSON_0000000164
PERSON_0000000914,PERSON_0000000802
PERSON_0000000824,PERSON_0000000972
PERSON_0000000824,PERSON_0000000976
PERSON_0000000824,PERSON_0000000981
PERSON_0000000824,PERSON_0000000993
PERSON_0000000824,PERSON_0000000265
PERSON_0000000824,PERSON_0000000256
PERSON_0000000824,PERSON_0000000078
PERSON_0000000824,PERSON_0000000623
PERSON_0000000824,PERSON_0000000191
PERSON_0000000824,PERSON_0000000220
PERSON_0000000824,PERSON_0000000492
PERSON_0000000824,PERSON_0000000817
PERSON_0000000824,PERSON_0000000408
PERSON_0000000824,PERSON_0000000310
PERSON_0000000824,PERSON_0000000585
PERSON_0000000824,PERSON_0000000801
PERSON_0000000824,PERSON_0000000331
PERSON_0000000824,PERSON_0000000152
PERSON_0000000824,PERSON_0000000519
PERSON_0000000824,PERSON_0000000796
PERSON_0000000824,PERSON_0000000450
PERSON_0000000574,PERSON_0000000998
PERSON_0000000574,PERSON_0000000851
PERSON_0000000574,PERSON_0000000753
PERSON_0000000574,PERSON_0000000619
PERSON_0000000574,PERSON_0000000599
PERSON_0000000574,PERSON_0000000638
PERSON_0000000574,PERSON_0000000543
PERSON_0000000574,PERSON_0000000222
PERSON_0000000574,PERSON_0000000374
PERSON_0000000574,PERSON_0000000218
PERSON_0000000574,PERSON_0000000418
PERSON_0000000574,PERSON_0000000377
PERSON_0000000574,PERSON_0000000257
PERSON_0000000057,PERSON_0000000701
PERSON_0000000057,PERSON_0000000890
PERSON_0000000057,PERSON_0000000932
PERSON_0000000057,PERSON_0000000724
PERSON_0000000057,PERSON_0000000702
PERSON_0000000057,PERSON_0000000694
PERSON_0000000057,PERSON_0000000833
PERSON_0000000057,PERSON_0000000540
PERSON_0000000057,PERSON_0000000338
PERSON_0000000057,PERSON_0000000242
PERSON_0000000057,PERSON_0000000228
PERSON_0000000057,PERSON_0000000102
PERSON_0000000057,PERSON_0000000554
PERSON_0000000057,PERSON_0000000006
PERSON_0000000057,PERSON_0000000041
PERSON_0000000665,PERSON_0000000885
PERSON_0000000665,PERSON_0000000831
PERSON_0000000665,PERSON_0000000756
PERSON_0000000665,PERSON_0000000849
PERSON_0000000665,PERSON_0000000741
PERSON_0000000665,PERSON_0000000704
PERSON_0000000665,PERSON_0000000750
PERSON_0000000665,PERSON_0000000212
PERSON_0000000665,PERSON_0000000402
PERSON_0000000665,PERSON_0000000039
PERSON_0000000665,PERSON_0000000460
PERSON_0000000665,PERSON_0000000202
PERSON_0000000665,PERSON_0000000208
PERSON_0000000665,PERSON_0000000328
PERSON_0000000665,PERSON_0000000260
PERSON_0000000665,PERSON_0000000465
PERSON_0000000665,PERSON_0000000657
PERSON_0000000665,PERSON_0000000445
PERSON_0000000665,PERSON_0000000518
PERSON_0000000665,PERSON_0000000288
PERSON_0000000665,PERSON_0000000190
PERSON_0000000378,PERSON_0000000789
PERSON_0000000378,PERSON_0000000749
PERSON_0000000378,PERSON_0000000693
PERSON_0000000378,PERSON_0000000679
PERSON_0000000378,PERSON_0000000646
PERSON_0000000378,PERSON_0000000610
PERSON_0000000378,PERSON_0000000625
PERSON_0000000378,PERSON_0000000579
PERSON_0000000378,PERSON_0000000537
PERSON_0000000378,PERSON_0000000408
PERSON_0000000378,PERSON_0000000792
PERSON_0000000378,PERSON_0000000637
PERSON_0000000378,PERSON_0000000817
PERSON_0000000378,PERSON_0000000298
PERSON_0000000378,PERSON_0000000088
PERSON_0000000378,PERSON_0000000228
PERSON_0000000378,PERSON_0000000223
PERSON_0000000378,PERSON_0000000195
PERSON_0000000378,PERSON_0000000227
PERSON_0000000378,PERSON_0000000302
PERSON_0000000378,PERSON_0000000352
PERSON_0000000378,PERSON_0000000144
PERSON_0000000367,PERSON_0000000972
PERSON_0000000367,PERSON_0000000965
PERSON_0000000367,PERSON_0000000907
PERSON_0000000367,PERSON_0000000841
PERSON_0000000367,PERSON_0000000838
PERSON_0000000367,PERSON_0000000872
PERSON_0000000367,PERSON_0000000631
PERSON_0000000367,PERSON_0000000555
PERSON_0000000367,PERSON_0000000542
PERSON_0000000367,PERSON_0000000411
PERSON_0000000367,PERSON_0000000701
PERSON_0000000367,PERSON_0000000342
PERSON_0000000367,PERSON_0000000109
PERSON_0000000367,PERSON_0000000189
PERSON_0000000480,PERSON_0000000991
PERSON_0000000480,PERSON_0000000829
PERSON_0000000480,PERSON_0000000799
PERSON_0000000480,PERSON_0000000787
PERSON_0000000480,PERSON_0000000766
PERSON_0000000480,PERSON_0000000757
PERSON_0000000480,PERSON_0000000704
PERSON_0000000480,PERSON_0000000663
PERSON_0000000480,PERSON_0000000630
PERSON_0000000480,PERSON_0000000617
PERSON_0000000480,PERSON_0000000571
PERSON_0000000480,PERSON_0000000535
PERSON_0000000480,PERSON_0000000074
PERSON_0000000480,PERSON_0000000202
PERSON_0000000480,PERSON_0000000141
PERSON_0000000480,PERSON_0000000444
PERSON_0000000480,PERSON_0000000170
PERSON_0000000480,PERSON_0000000065
PERSON_0000000480,PERSON_0000000318
PERSON_0000000059,PERSON_0000000601
PERSON_0000000059,PERSON_0000000823
PERSON_0000000059,PERSON_0000000773
PERSON_0000000059,PERSON_0000000765
PERSON_0000000059,PERSON_0000000696
PERSON_0000000059,PERSON_0000000609
PERSON_0000000059,PERSON_0000000478
PERSON_0000000059,PERSON_0000000722
PERSON_0000000059,PERSON_0000000385
PERSON_0000000059,PERSON_0000000374
PERSON_0000000059,PERSON_0000000326
PERSON_0000000059,PERSON_0000000155
PERSON_0000000059,PERSON_0000000102
PERSON_0000000059,PERSON_0000000073
PERSON_0000000059,PERSON_0000000069
PERSON_0000000059,PERSON_0000000391
PERSON_0000000059,PERSON_0000000034
PERSON_0000000315,PERSON_0000000662
PERSON_0000000315,PERSON_0000000951
PERSON_0000000315,PERSON_0000000903
PERSON_0000000315,PERSON_0000000764
PERSON_0000000315,PERSON_0000000714
PERSON_0000000315,PERSON_0000000659
PERSON_0000000315,PERSON_0000000438
PERSON_0000000315,PERSON_0000000540
PERSON_0000000315,PERSON_0000000484
PERSON_0000000315,PERSON_0000000472
PERSON_0000000315,PERSON_0000000644
PERSON_0000000315,PERSON_0000000402
PERSON_0000000315,PERSON_0000000246
PERSON_0000000315,PERSON_0000000119
PERSON_0000000315,PERSON_0000000132
PERSON_0000000569,PERSON_0000000969
PERSON_0000000569,PERSON_0000000965
PERSON_0000000569,PERSON_0000000928
PERSON_0000000569,PERSON_0000000917
PERSON_0000000569,PERSON_0000000890
PERSON_0000000569,PERSON_0000000876
PERSON_0000000569,PERSON_0000000855
PERSON_0000000569,PERSON_0000000838
PERSON_0000000569,PERSON_0000000783
PERSON_0000000569,PERSON_0000000714
PERSON_0000000569,PERSON_0000000616
PERSON_0000000569,PERSON_0000000188
PERSON_0000000569,PERSON_0000000334
PERSON_0000000569,PERSON_0000000248
PERSON_0000000569,PERSON_0000000365
PERSON_0000000569,PERSON_0000000009
PERSON_0000000569,PERSON_0000000157
PERSON_0000000569,PERSON_0000000011
PERSON_0000000569,PERSON_0000000444
PERSON_0000000080,PERSON_0000000647
PERSON_0000000080,PERSON_0000000711
PERSON_0000000080,PERSON_0000000716
PERSON_0000000080,PERSON_0000000628
PERSON_0000000080,PERSON_0000000860
PERSON_0000000080,PERSON_0000000969
PERSON_0000000080,PERSON_0000000768
PERSON_0000000080,PERSON_0000000989
PERSON_0000000080,PERSON_0000000609
PERSON_0000000080,PERSON_0000000510
PERSON_0000000080,PERSON_0000000464
PERSON_0000000080,PERSON_0000000451
PERSON_0000000080,PERSON_0000000321
PERSON_0000000080,PERSON_0000000226
PERSON_0000000080,PERSON_0000000112
PERSON_0000000080,PERSON_0000000585
PERSON_0000000080,PERSON_0000000063
PERSON_0000000080,PERSON_0000000044
PERSON_0000000080,PERSON_0000000020
PERSON_0000000080,PERSON_0000000002
PERSON_0000000733,PERSON_0000000941
PERSON_0000000733,PERSON_0000000946
PERSON_0000000733,PERSON_0000000929
PERSON_0000000733,PERSON_0000000795
PERSON_0000000733,PERSON_0000000885
PERSON_0000000733,PERSON_0000000904
PERSON_0000000733,PERSON_0000000849
PERSON_0000000733,PERSON_0000000523
PERSON_0000000733,PERSON_0000000444
PERSON_0000000733,PERSON_0000000278
PERSON_0000000733,PERSON_0000000723
PERSON_0000000733,PERSON_0000000240
PERSON_0000000733,PERSON_0000000342
PERSON_0000000733,PERSON_0000000119
PERSON_0000000733,PERSON_0000000580
PERSON_0000000733,PERSON_0000000664
PERSON_0000000733,PERSON_0000000482
PERSON_0000000733,PERSON_0000000377
PERSON_0000000733,PERSON_0000000449
PERSON_0000000733,PERSON_0000000712
PERSON_0000000733,PERSON_0000000193
PERSON_0000000733,PERSON_0000000597
PERSON_0000000733,PERSON_0000000628
PERSON_0000000733,PERSON_0000000616
PERSON_0000000777,PERSON_0000000906
PERSON_0000000777,PERSON_0000000899
PERSON_0000000777,PERSON_0000000809
PERSON_0000000777,PERSON_0000000829
PERSON_0000000777,PERSON_0000000322
PERSON_0000000777,PERSON_0000000570
PERSON_0000000777,PERSON_0000000572
PERSON_0000000777,PERSON_0000000209
PERSON_0000000777,PERSON_0000000285
PERSON_0000000777,PERSON_0000000516
PERSON_0000000777,PERSON_0000000341
PERSON_0000000777,PERSON_0000000435
PERSON_0000000777,PERSON_0000000109
PERSON_0000000102,PERSON_0000000508
PERSON_0000000102,PERSON_0000000959
PERSON_0000000102,PERSON_0000000553
PERSON_0000000102,PERSON_0000000487
PERSON_0000000102,PERSON_0000000620
PERSON_0000000102,PERSON_0000000411
PERSON_0000000102,PERSON_0000000232
PERSON_0000000102,PERSON_0000000200
PERSON_0000000102,PERSON_0000000461
PERSON_0000000102,PERSON_0000000169
PERSON_0000000102,PERSON_0000000059
PERSON_0000000102,PERSON_0000000026
PERSON_0000000102,PERSON_0000000057
PERSON_0000000102,PERSON_0000000030
PERSON_0000000944,PERSON_0000000946
PERSON_0000000944,PERSON_0000000950
PERSON_0000000944,PERSON_0000000362
PERSON_0000000944,PERSON_0000000636
PERSON_0000000944,PERSON_0000000449
PERSON_0000000944,PERSON_0000000191
PERSON_0000000944,PERSON_0000000183
PERSON_0000000944,PERSON_0000000807
PERSON_0000000944,PERSON_0000000533
PERSON_0000000944,PERSON_0000000490
PERSON_0000000944,PERSON_0000000772
PERSON_0000000944,PERSON_0000000120
PERSON_0000000944,PERSON_0000000727
PERSON_0000000944,PERSON_0000000520
PERSON_0000000944,PERSON_0000000479
PERSON_0000000944,PERSON_0000000684
PERSON_0000000177,PERSON_0000000701
PERSON_0000000177,PERSON_0000000672
PERSON_0000000177,PERSON_0000000686
PERSON_0000000177,PERSON_0000000732
PERSON_0000000177,PERSON_0000000633
PERSON_0000000177,PERSON_0000000841
PERSON_0000000177,PERSON_0000000865
PERSON_0000000177,PERSON_0000000901
PERSON_0000000177,PERSON_0000000919
PERSON_0000000177,PERSON_0000000754
PERSON_0000000177,PERSON_0000000625
PERSON_0000000177,PERSON_0000000877
PERSON_0000000177,PERSON_0000000557
PERSON_0000000177,PERSON_0000000189
PERSON_0000000177,PERSON_0000000191
PERSON_0000000177,PERSON_0000000203
PERSON_0000000177,PERSON_0000000248
PERSON_0000000177,PERSON_0000000568
PERSON_0000000177,PERSON_0000000285
PERSON_0000000177,PERSON_0000000329
PERSON_0000000177,PERSON_0000000532
PERSON_0000000177,PERSON_0000000536
PERSON_0000000177,PERSON_0000000255
PERSON_0000000177,PERSON_0000000089
PERSON_0000000177,PERSON_0000000042
