trace_id,f3,f4
TRACE_PERSON_0000000715,PERSON_0000000094,PERSON_0000000024
TRACE_PERSON_0000000215,PERSON_0000000969,PERSON_0000000775
TRACE_PERSON_0000000892,PERSON_0000000266,PERSON_0000000931
TRACE_PERSON_0000000851,PERSON_0000000863,PERSON_0000000686
TRACE_PERSON_0000000494,PERSON_0000000233,PERSON_0000000215
TRACE_PERSON_0000000808,PERSON_0000000254,PERSON_0000000961
TRACE_PERSON_0000000144,PERSON_0000000643,PERSON_0000000145
TRACE_PERSON_0000000694,PERSON_0000000864,PERSON_0000000800
TRACE_PERSON_0000000586,PERSON_0000000162,PERSON_0000000246
TRACE_PERSON_0000000567,PERSON_0000000514,PERSON_0000000234
TRACE_PERSON_0000000084,PERSON_0000000195,PERSON_0000000624
TRACE_PERSON_0000000967,PERSON_0000000235,PERSON_0000000774
TRACE_PERSON_0000000095,PERSON_0000000084,PERSON_0000000684
TRACE_PERSON_0000000386,PERSON_0000000789,PERSON_0000000638
TRACE_PERSON_0000000573,PERSON_0000000089,PERSON_0000000069
TRACE_PERSON_0000000315,PERSON_0000000912,PERSON_0000000802
TRACE_PERSON_0000000348,PERSON_0000000788,PERSON_0000000780
TRACE_PERSON_0000000763,PERSON_0000000194,PERSON_0000000151
TRACE_PERSON_0000000212,PERSON_0000000634,PERSON_0000000476
TRACE_PERSON_0000000851,PERSON_0000000023,PERSON_0000000913
TRACE_PERSON_0000000331,PERSON_0000000335,PERSON_0000000967
TRACE_PERSON_0000000958,PERSON_0000000121,PERSON_0000000392
TRACE_PERSON_0000000215,PERSON_0000000969,PERSON_0000000556
TRACE_PERSON_0000000958,PERSON_0000000331,PERSON_0000000245
TRACE_PERSON_0000000094,PERSON_0000000247,PERSON_0000000779
TRACE_PERSON_0000000799,PERSON_0000000690,PERSON_0000000263
TRACE_PERSON_0000000902,PERSON_0000000578,PERSON_0000000895
TRACE_PERSON_0000000804,PERSON_0000000161,PERSON_0000000896
TRACE_PERSON_0000000138,PERSON_0000000370,PERSON_0000000115
TRACE_PERSON_0000000886,PERSON_0000000635,PERSON_0000000443
TRACE_PERSON_0000000536,PERSON_0000000340,PERSON_0000000623
TRACE_PERSON_0000000297,PERSON_0000000758,PERSON_0000000823
TRACE_PERSON_0000000130,PERSON_0000000282,PERSON_0000000942
TRACE_PERSON_0000000808,PERSON_0000000798,PERSON_0000000760
TRACE_PERSON_0000000379,PERSON_0000000252,PERSON_0000000245
TRACE_PERSON_0000000037,PERSON_0000000123,PERSON_0000000765
TRACE_PERSON_0000000995,PERSON_0000000636,PERSON_0000000769
TRACE_PERSON_0000000576,PERSON_0000000798,PERSON_0000000604
TRACE_PERSON_0000000095,PERSON_0000000435,PERSON_0000000478
TRACE_PERSON_0000000843,PERSON_0000000260,PERSON_0000000889
TRACE_PERSON_0000000892,PERSON_0000000266,PERSON_0000000153
TRACE_PERSON_0000000361,PERSON_0000000593,PERSON_0000000002
TRACE_PERSON_0000000573,PERSON_0000000612,PERSON_0000000311
TRACE_PERSON_0000000379,PERSON_0000000889,PERSON_0000000640
TRACE_PERSON_0000000037,PERSON_0000000263,PERSON_0000000516
TRACE_PERSON_0000000230,PERSON_0000000287,PERSON_0000000871
TRACE_PERSON_0000000852,PERSON_0000000934,PERSON_0000000951
TRACE_PERSON_0000000360,PERSON_0000000846,PERSON_0000000936
TRACE_PERSON_0000000494,PERSON_0000000475,PERSON_0000000011
TRACE_PERSON_0000000582,PERSON_0000000937,PERSON_0000000862
TRACE_PERSON_0000000995,PERSON_0000000585,PERSON_0000000166
TRACE_PERSON_0000000016,PERSON_0000000620,PERSON_0000000077
TRACE_PERSON_0000000557,PERSON_0000000493,PERSON_0000000178
TRACE_PERSON_0000000005,PERSON_0000000481,PERSON_0000000258
TRACE_PERSON_0000000813,PERSON_0000000225,PERSON_0000000847
TRACE_PERSON_0000000715,PERSON_0000000094,PERSON_0000000731
TRACE_PERSON_0000000182,PERSON_0000000603,PERSON_0000000650
TRACE_PERSON_0000000208,PERSON_0000000844,PERSON_0000000387
TRACE_PERSON_0000000552,PERSON_0000000999,PERSON_0000000223
TRACE_PERSON_0000000892,PERSON_0000000266,PERSON_0000000261
TRACE_PERSON_0000000536,PERSON_0000000932,PERSON_0000000748
TRACE_PERSON_0000000851,PERSON_0000000782,PERSON_0000000273
TRACE_PERSON_0000000063,PERSON_0000000413,PERSON_0000000164
TRACE_PERSON_0000000809,PERSON_0000000041,PERSON_0000000180
TRACE_PERSON_0000000851,PERSON_0000000863,PERSON_0000000809
TRACE_PERSON_0000000138,PERSON_0000000713,PERSON_0000000133
TRACE_PERSON_0000000315,PERSON_0000000294,PERSON_0000000364
TRACE_PERSON_0000000094,PERSON_0000000045,PERSON_0000000831
TRACE_PERSON_0000000187,PERSON_0000000255,PERSON_0000000319
TRACE_PERSON_0000000095,PERSON_0000000894,PERSON_0000000911
TRACE_PERSON_0000000110,PERSON_0000000587,PERSON_0000000832
TRACE_PERSON_0000000958,PERSON_0000000599,PERSON_0000000640
TRACE_PERSON_0000000868,PERSON_0000000981,PERSON_0000000994
TRACE_PERSON_0000000646,PERSON_0000000344,PERSON_0000000828
TRACE_PERSON_0000000809,PERSON_0000000399,PERSON_0000000407
TRACE_PERSON_0000000404,PERSON_0000000303,PERSON_0000000559
TRACE_PERSON_0000000763,PERSON_0000000909,PERSON_0000000122
TRACE_PERSON_0000000573,PERSON_0000000917,PERSON_0000000677
TRACE_PERSON_0000000095,PERSON_0000000486,PERSON_0000000419
TRACE_PERSON_0000000494,PERSON_0000000440,PERSON_0000000752
TRACE_PERSON_0000000230,PERSON_0000000227,PERSON_0000000884
TRACE_PERSON_0000000536,PERSON_0000000657,PERSON_0000000506
TRACE_PERSON_0000000182,PERSON_0000000695,PERSON_0000000198
TRACE_PERSON_0000000310,PERSON_0000000341,PERSON_0000000095
TRACE_PERSON_0000000043,PERSON_0000000079,PERSON_0000000357
TRACE_PERSON_0000000109,PERSON_0000000878,PERSON_0000000742
TRACE_PERSON_0000000958,PERSON_0000000718,PERSON_0000000489
TRACE_PERSON_0000000567,PERSON_0000000457,PERSON_0000000138
TRACE_PERSON_0000000315,PERSON_0000000294,PERSON_0000000934
TRACE_PERSON_0000000310,PERSON_0000000647,PERSON_0000000917
TRACE_PERSON_0000000095,PERSON_0000000176,PERSON_0000000299
TRACE_PERSON_0000000334,PERSON_0000000461,PERSON_0000000635
TRACE_PERSON_0000000808,PERSON_0000000254,PERSON_0000000706
TRACE_PERSON_0000000175,PERSON_0000000155,PERSON_0000000025
TRACE_PERSON_0000000025,PERSON_0000000305,PERSON_0000000271
TRACE_PERSON_0000000799,PERSON_0000000690,PERSON_0000000263
TRACE_PERSON_0000000144,PERSON_0000000643,PERSON_0000000424
TRACE_PERSON_0000000084,PERSON_0000000930,PERSON_0000000536
TRACE_PERSON_0000000212,PERSON_0000000000,PERSON_0000000963
TRACE_PERSON_0000000005,PERSON_0000000330,PERSON_0000000582
TRACE_PERSON_0000000851,PERSON_0000000023,PERSON_0000000167
TRACE_PERSON_0000000820,PERSON_0000000455,PERSON_0000000744
TRACE_PERSON_0000000159,PERSON_0000000889,PERSON_0000000364
TRACE_PERSON_0000000793,PERSON_0000000181,PERSON_0000000497
TRACE_PERSON_0000000282,PERSON_0000000196,PERSON_0000000270
TRACE_PERSON_0000000530,PERSON_0000000749,PERSON_0000000957
TRACE_PERSON_0000000037,PERSON_0000000585,PERSON_0000000181
TRACE_PERSON_0000000633,PERSON_0000000489,PERSON_0000000039
TRACE_PERSON_0000000952,PERSON_0000000080,PERSON_0000000609
TRACE_PERSON_0000000583,PERSON_0000000325,PERSON_0000000424
TRACE_PERSON_0000000652,PERSON_0000000564,PERSON_0000000119
TRACE_PERSON_0000000739,PERSON_0000000376,PERSON_0000000576
TRACE_PERSON_0000000851,PERSON_0000000023,PERSON_0000000809
TRACE_PERSON_0000000573,PERSON_0000000554,PERSON_0000000783
TRACE_PERSON_0000000282,PERSON_0000000079,PERSON_0000000047
TRACE_PERSON_0000000958,PERSON_0000000418,PERSON_0000000758
TRACE_PERSON_0000000567,PERSON_0000000188,PERSON_0000000549
TRACE_PERSON_0000000251,PERSON_0000000851,PERSON_0000000151
TRACE_PERSON_0000000084,PERSON_0000000195,PERSON_0000000418
TRACE_PERSON_0000000495,PERSON_0000000173,PERSON_0000000734
TRACE_PERSON_0000000892,PERSON_0000000150,PERSON_0000000621
TRACE_PERSON_0000000886,PERSON_0000000262,PERSON_0000000163
TRACE_PERSON_0000000282,PERSON_0000000726,PERSON_0000000972
TRACE_PERSON_0000000967,PERSON_0000000235,PERSON_0000000590
TRACE_PERSON_0000000958,PERSON_0000000270,PERSON_0000000615
TRACE_PERSON_0000000573,PERSON_0000000612,PERSON_0000000195
TRACE_PERSON_0000000573,PERSON_0000000089,PERSON_0000000281
TRACE_PERSON_0000000230,PERSON_0000000287,PERSON_0000000437
TRACE_PERSON_0000000315,PERSON_0000000912,PERSON_0000000635
TRACE_PERSON_0000000159,PERSON_0000000296,PERSON_0000000752
TRACE_PERSON_0000000694,PERSON_0000000864,PERSON_0000000229
TRACE_PERSON_0000000037,PERSON_0000000397,PERSON_0000000027
TRACE_PERSON_0000000494,PERSON_0000000233,PERSON_0000000911
TRACE_PERSON_0000000494,PERSON_0000000475,PERSON_0000000767
TRACE_PERSON_0000000714,PERSON_0000000615,PERSON_0000000931
TRACE_PERSON_0000000891,PERSON_0000000648,PERSON_0000000691
TRACE_PERSON_0000000586,PERSON_0000000162,PERSON_0000000690
TRACE_PERSON_0000000849,PERSON_0000000975,PERSON_0000000779
TRACE_PERSON_0000000813,PERSON_0000000225,PERSON_0000000847
TRACE_PERSON_0000000843,PERSON_0000000260,PERSON_0000000149
TRACE_PERSON_0000000892,PERSON_0000000266,PERSON_0000000931
TRACE_PERSON_0000000215,PERSON_0000000786,PERSON_0000000445
